Blade Runner,117,Acción - Cyberpunk,Ridley Scott,Warner Bros. Pictures,Harrison Ford;Sean Young;Daryl Hannah
REC,78,Terror - Zombie,Jaume Balaguero - Paco Plaza,Filmax,Manuela Velasco;Pablo Rosso
